removed_feature,set,rep,rmse,accuracy,r2
Mpi,Test,0,0.007827459847300116,0.4473002154912715,0.19938979164339576
Mexp,Train,0,0.007699352330696187,0.49824300500949253,0.2445093606149037
Mexp,Development,0,0.007775527636935084,0.45684527605560693,0.20842891555039067
Mexp,Test,0,0.00778068246729955,0.45763011850687785,0.20893019059539297
Sexp,Train,0,0.007726188583104188,0.49483640103052834,0.2392336256494737
Sexp,Development,0,0.0077570612371383055,0.46225659008306286,0.21218431608421506
Sexp,Test,0,0.007681740827455863,0.481919186635566,0.22892126284000913
winLen,Train,0,0.007866491187191408,0.4630642516774093,0.2113526997847972
winLen,Development,0,0.007936866153572605,0.4188887185779799,0.17523865991711451
winLen,Test,0,0.007901262634874995,0.42962824490866175,0.18422118665327614
geneLen,Train,0,0.007685315726635792,0.4993864891436857,0.24726150288013804
geneLen,Development,0,0.007778514732758938,0.4560883145871756,0.20782060882924025
geneLen,Test,0,0.00766081538398863,0.48314746439720674,0.2331164546306359
none,Train,1,0.007680503774277036,0.499275152455882,0.24658665417144843
none,Development,1,0.00782463840617374,0.4863119456018846,0.23416885616296312
none,Test,1,0.00746874203278407,0.500800180380481,0.24865133930373762
gerp,Train,1,0.0076982267941336285,0.4956384700412928,0.24310558937375915
gerp,Development,1,0.007857136125563713,0.47906789934463345,0.227794261724808
gerp,Test,1,0.007526570901068118,0.48843502653936555,0.236971232218113
mr,Train,1,0.007586311629038074,0.516104933823979,0.2649527581056228
mr,Development,1,0.007791328589785661,0.4914479048837167,0.2406753285492118
mr,Test,1,0.007396997143835533,0.5136061533967047,0.2630169493820034
tau,Train,1,0.007782551099121952,0.476089418330919,0.22643313854506564
tau,Development,1,0.008015662259151604,0.44331957366614166,0.19631976191386658
tau,Test,1,0.007587884460349898,0.4738420260609617,0.22448890313577952
SIFTsorghum,Train,1,0.007709066435696453,0.4975528130042219,0.24097256820896285
SIFTsorghum,Development,1,0.007871370560694929,0.48079125567070186,0.22499378350963062
SIFTsorghum,Test,1,0.007511439582904159,0.4952603851901537,0.2400361141181213
SIFTcounts,Train,1,0.008095768481890578,0.4037827647282331,0.16291404524984043
SIFTcounts,Development,1,0.008296029025858041,0.37343152167334237,0.13911528794262784
SIFTcounts,Test,1,0.007976855950356859,0.37848721249201395,0.14294222952763536
frac,Train,1,0.007677439561818905,0.49752782305952625,0.24718769756787484
frac,Development,1,0.007798786040913742,0.48948621556984917,0.23922106139900068
frac,Test,1,0.007444398262260135,0.5037653250908951,0.25354127949036587
rho,Train,1,0.007774635820754547,0.4785696214972446,0.22800585763306636
rho,Development,1,0.00791382679839217,0.4663904761006988,0.21661085056964546
rho,Test,1,0.007610506998639585,0.4697198577628706,0.21985778823621527
Mpi,Train,1,0.007653677535120691,0.5056710808968822,0.25184046318345077
Mpi,Development,1,0.0077851703181015175,0.4947580734675282,0.24187519569949167
Mpi,Test,1,0.007491950835351531,0.49654591555075206,0.2439745151680588
Mexp,Train,1,0.007628714516917979,0.5093393609400108,0.256712856349149
Mexp,Development,1,0.007785447466571399,0.4929563628713938,0.2418212169524968
Mexp,Test,1,0.007475294469501144,0.49848722629997766,0.24733242264756816
Sexp,Train,1,0.00770566098593304,0.4932615264756711,0.24164301485522788
Sexp,Development,1,0.007827131747289795,0.4844246351920026,0.23368071028073156
Sexp,Test,1,0.007496046290124537,0.4944116255256482,0.2431477306544465
winLen,Train,1,0.00804716508768904,0.41753757853930584,0.17293485815943999
winLen,Development,1,0.008228120162154068,0.39221262272457974,0.1531515038737724
winLen,Test,1,0.007850833556931924,0.41323777544894796,0.16980877595935195
geneLen,Train,1,0.007742433616458788,0.48623013459940795,0.23438774594753287
geneLen,Development,1,0.007938523804497966,0.46116626325220667,0.21171371138191175
geneLen,Test,1,0.007605226025535666,0.47086543908415057,0.22094010262711095
none,Train,2,0.007674786987004596,0.49186720843354786,0.2413658282708624
none,Development,2,0.008230758797901265,0.442430007006475,0.19494106083561835
none,Test,2,0.007671034350826731,0.4678627546088213,0.21854869335263538
gerp,Train,2,0.007720198258946011,0.4843649194419725,0.23236167905552918
gerp,Development,2,0.008253121732182787,0.43701525231838145,0.19056043487418417
gerp,Test,2,0.007708096025587879,0.4603520733622149,0.21097947757664826
mr,Train,2,0.00763264554098998,0.49976681255403044,0.2496741159821494
mr,Development,2,0.008177155100544849,0.45486737021900187,0.20539297998961337
mr,Test,2,0.0075427808371681315,0.4952285792221198,0.24446072556613785
tau,Train,2,0.007680336246915418,0.49097911059138444,0.24026836975541632
tau,Development,2,0.008132555633234693,0.4626715236432388,0.21403716108982607
tau,Test,2,0.007704766458086463,0.4602250786341284,0.2116609765315013
SIFTsorghum,Train,2,0.00759959316545411,0.5074551173269816,0.25615846161003686
SIFTsorghum,Development,2,0.008093315617794163,0.47125355272467606,0.22160348835957633
SIFTsorghum,Test,2,0.007509408901536745,0.5027441584500206,0.25113148298708454
SIFTcounts,Train,2,0.008063425204764737,0.40355857595292816,0.16258860980286893
SIFTcounts,Development,2,0.008502308556079061,0.375598889435599,0.14094365367445327
SIFTcounts,Test,2,0.007982920425580011,0.3921683757385452,0.15371300499814256
frac,Train,2,0.007592297177864586,0.5079617741268945,0.25758602579443457
frac,Development,2,0.008060716935810319,0.4774977570738489,0.22786139272421801
frac,Test,2,0.0075392030183893,0.49562075982678294,0.2451773157874414
rho,Train,2,0.007830644665226795,0.46120928450241305,0.21024065316702734
rho,Development,2,0.008312358014167359,0.4235084605238724,0.17889932905057315
rho,Test,2,0.007815985380969859,0.4356707252009302,0.18873723482135185
Mpi,Train,2,0.007590533653129373,0.5145367378376332,0.2579308788263269
Mpi,Development,2,0.00801633838815253,0.4903447438776321,0.2363400585484644
Mpi,Test,2,0.007522592651841183,0.5068581043426051,0.2484997013784499
Mexp,Train,2,0.007595772732628225,0.511831535457415,0.25690615487759594
Mexp,Development,2,0.007993289067970824,0.4937691214355067,0.24072523702366144
Mexp,Test,2,0.00749095790352471,0.5128241638139637,0.2548069777454086
Sexp,Train,2,0.007637765213072582,0.5021975329531047,0.24866720146041954
Sexp,Development,2,0.008139022440927977,0.4660771139078651,0.21278670758670937
Sexp,Test,2,0.007618024735335444,0.4844875762797708,0.22931159767856268
winLen,Train,2,0.007732290804408108,0.48077654857065044,0.2299550125502856
winLen,Development,2,0.00815117284614036,0.4599759661403147,0.210434557773872
